device /dev/input/event10, name "ELAN Touchscreen", phys "usb-0000:00:14.0-4.4/input0"
(InputEvent(1480382771L, 579068L, 3, 54, 459L), '---', 459L)
(InputEvent(1480382771L, 579068L, 3, 61, 459L), '---', 459L)
(InputEvent(1480382771L, 579068L, 3, 49, 3L), '---', 3L)
(InputEvent(1480382771L, 579068L, 3, 1, 459L), '---', 459L)
(InputEvent(1480382771L, 587099L, 3, 48, 3L), '---', 3L)
(InputEvent(1480382771L, 587099L, 3, 49, 2L), '---', 2L)
(InputEvent(1480382771L, 593925L, 3, 57, -1L), '---', -1L)
(InputEvent(1480382771L, 897045L, 3, 57, 1489L), '---', 1489L)
(InputEvent(1480382771L, 897045L, 3, 53, 1719L), '---', 1719L)
(InputEvent(1480382771L, 897045L, 3, 54, 935L), '---', 935L)
(InputEvent(1480382771L, 897045L, 3, 60, 1719L), '---', 1719L)
(InputEvent(1480382771L, 897045L, 3, 61, 935L), '---', 935L)
(InputEvent(1480382771L, 897045L, 3, 0, 1719L), '---', 1719L)
(InputEvent(1480382771L, 897045L, 3, 1, 935L), '---', 935L)
(InputEvent(1480382771L, 946077L, 3, 54, 936L), '---', 936L)
(InputEvent(1480382771L, 946077L, 3, 61, 936L), '---', 936L)
(InputEvent(1480382771L, 946077L, 3, 1, 936L), '---', 936L)
(InputEvent(1480382771L, 954082L, 3, 53, 1720L), '---', 1720L)
(InputEvent(1480382771L, 954082L, 3, 54, 937L), '---', 937L)
(InputEvent(1480382771L, 954082L, 3, 60, 1720L), '---', 1720L)
(InputEvent(1480382771L, 954082L, 3, 61, 937L), '---', 937L)
(InputEvent(1480382771L, 954082L, 3, 49, 3L), '---', 3L)
(InputEvent(1480382771L, 954082L, 3, 0, 1720L), '---', 1720L)
(InputEvent(1480382771L, 954082L, 3, 1, 937L), '---', 937L)
(InputEvent(1480382771L, 962095L, 3, 53, 1722L), '---', 1722L)
(InputEvent(1480382771L, 962095L, 3, 54, 940L), '---', 940L)
(InputEvent(1480382771L, 962095L, 3, 60, 1722L), '---', 1722L)
(InputEvent(1480382771L, 962095L, 3, 61, 940L), '---', 940L)
(InputEvent(1480382771L, 962095L, 3, 48, 2L), '---', 2L)
(InputEvent(1480382771L, 962095L, 3, 49, 2L), '---', 2L)
(InputEvent(1480382771L, 962095L, 3, 0, 1722L), '---', 1722L)
(InputEvent(1480382771L, 962095L, 3, 1, 940L), '---', 940L)
(InputEvent(1480382771L, 970002L, 3, 53, 1726L), '---', 1726L)
(InputEvent(1480382771L, 970002L, 3, 54, 945L), '---', 945L)
(InputEvent(1480382771L, 970002L, 3, 60, 1726L), '---', 1726L)
(InputEvent(1480382771L, 970002L, 3, 61, 945L), '---', 945L)
(InputEvent(1480382771L, 970002L, 3, 0, 1726L), '---', 1726L)
(InputEvent(1480382771L, 970002L, 3, 1, 945L), '---', 945L)
(InputEvent(1480382771L, 978073L, 3, 48, 1L), '---', 1L)
(InputEvent(1480382771L, 978073L, 3, 49, 1L), '---', 1L)
